CEP inicial,Latitude inicial,Longitude inicial,Dia do vôo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
82100470,-25.3984034918396,-49.2952852364297,1,17:47,54,82320340,-25.399199941043,-49.3477109219031,NÃO,17:50
82320340,-25.399199941043,-49.3477109219031,1,17:51,54,82415070,-25.3666350000001,-49.3367376666649,NÃO,17:50
82415070,-25.3666350000001,-49.3367376666649,1,17:51,54,82415070,-25.3666350000001,-49.3367376666649,SIM,18:06
82415070,-25.3666350000001,-49.3367376666649,1,18:07,54,81450340,-25.4902346316319,-49.3486330527676,NÃO,18:06
81450340,-25.4902346316319,-49.3486330527676,1,18:07,54,81450340,-25.4902346316319,-49.3486330527676,SIM,18:23
81450340,-25.4902346316319,-49.3486330527676,1,18:24,54,81590568,-25.4865484092882,-49.1981543961654,NÃO,18:33
81590568,-25.4865484092882,-49.1981543961654,1,18:34,54,80230090,-25.4390390483783,-49.2723309760101,NÃO,18:33
80230090,-25.4390390483783,-49.2723309760101,1,18:34,54,80230090,-25.4390390483783,-49.2723309760101,SIM,18:38
80230090,-25.4390390483783,-49.2723309760101,1,18:39,54,82510514,-25.4130335000161,-49.2401459999717,NÃO,18:51
82510514,-25.4130335000161,-49.2401459999717,1,18:52,54,81312000,-25.5030856483401,-49.3152229520216,NÃO,18:56
81312000,-25.5030856483401,-49.3152229520216,1,18:57,54,81250210,-25.4756844576971,-49.3473682666473,NÃO,18:58
81250210,-25.4756844576971,-49.3473682666473,1,18:59,54,81330220,-25.4843712333489,-49.3355483883407,NÃO,18:58
81330220,-25.4843712333489,-49.3355483883407,1,18:59,54,81330220,-25.4843712333489,-49.3355483883407,SIM,18:58
81330220,-25.4843712333489,-49.3355483883407,1,18:59,54,81330220,-25.4843712333489,-49.3355483883407,SIM,06:13
81330220,-25.4843712333489,-49.3355483883407,2,06:14,54,80540140,-25.4021061827475,-49.2605236422368,NÃO,06:14
80540140,-25.4021061827475,-49.2605236422368,2,06:15,54,80035230,-25.4008064386385,-49.2512257402299,NÃO,06:22
80035230,-25.4008064386385,-49.2512257402299,2,06:23,54,82930000,-25.4522168930604,-49.2076848688181,NÃO,06:22
82930000,-25.4522168930604,-49.2076848688181,2,06:23,54,82930000,-25.4522168930604,-49.2076848688181,SIM,06:32
82930000,-25.4522168930604,-49.2076848688181,2,06:33,54,82630494,-25.3769201560983,-49.2197021839363,NÃO,06:36
82630494,-25.3769201560983,-49.2197021839363,2,06:37,54,82520150,-25.4121197273283,-49.2373089094202,NÃO,06:49
82520150,-25.4121197273283,-49.2373089094202,2,06:50,54,81230392,-25.4603003707953,-49.340657573102,NÃO,06:49
81230392,-25.4603003707953,-49.340657573102,2,06:50,54,81230392,-25.4603003707953,-49.340657573102,SIM,07:02
81230392,-25.4603003707953,-49.340657573102,2,07:03,54,81850712,-25.5293962610013,-49.2571259563704,NÃO,07:14
81850712,-25.5293962610013,-49.2571259563704,2,07:15,54,81490398,-25.5963908362783,-49.3358913045797,NÃO,07:14
81490398,-25.5963908362783,-49.3358913045797,2,07:15,54,81490370,-25.5945839118607,-49.3348460297419,NÃO,07:16
81490370,-25.5945839118607,-49.3348460297419,2,07:17,54,81470346,-25.5796239000291,-49.33524810001,NÃO,07:16
81470346,-25.5796239000291,-49.33524810001,2,07:17,54,81470346,-25.5796239000291,-49.33524810001,SIM,07:18
81470346,-25.5796239000291,-49.33524810001,2,07:19,54,81490360,-25.5959260714452,-49.3331487620149,NÃO,07:32
81490360,-25.5959260714452,-49.3331487620149,2,07:33,54,81260160,-25.488209,-49.348703,NÃO,07:32
81260160,-25.488209,-49.348703,2,07:33,54,81260160,-25.488209,-49.348703,SIM,07:45
81260160,-25.488209,-49.348703,2,07:46,54,80045160,-25.4227240373025,-49.257747950136,NÃO,07:50
80045160,-25.4227240373025,-49.257747950136,2,07:51,54,81530380,-25.4625848305665,-49.2300931009572,NÃO,07:53
81530380,-25.4625848305665,-49.2300931009572,2,07:54,54,82960472,-25.4657194667099,-49.212058299976,NÃO,07:56
82960472,-25.4657194667099,-49.212058299976,2,07:57,54,81550490,-25.4924960602498,-49.2054049266086,NÃO,07:57
81550490,-25.4924960602498,-49.2054049266086,2,07:58,54,81590340,-25.486945243492,-49.2043714494834,NÃO,07:57
