CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
81220100,-25.4557352095908,-49.3256450071633,1,02:12:06,30,81590568,-25.4865484092882,-49.1981543961654,SIM,02:38:36
81590568,-25.4865484092882,-49.1981543961654,1,02:39:36,30,81610090,-25.4829752828427,-49.2413676273212,SIM,02:48:19
81610090,-25.4829752828427,-49.2413676273212,1,02:49:19,30,81260210,-25.4862514891775,-49.350391101116,SIM,03:11:13
81260210,-25.4862514891775,-49.350391101116,1,03:12:13,30,82980600,-25.4666337593647,-49.1916779820241,SIM,03:44:23
82980600,-25.4666337593647,-49.1916779820241,1,03:45:23,30,82220610,-25.3725747859642,-49.2682819283134,SIM,04:11:22
82220610,-25.3725747859642,-49.2682819283134,1,04:12:22,30,80320140,-25.4645330930821,-49.294537482629,SIM,04:33:30
80320140,-25.4645330930821,-49.294537482629,1,04:34:30,30,82310380,-25.4271679351543,-49.3574755107166,SIM,04:49:38
82310380,-25.4271679351543,-49.3574755107166,1,04:50:38,30,81510390,-25.4685143295265,-49.2421165124832,SIM,05:15:34
81510390,-25.4685143295265,-49.2421165124832,1,05:16:34,30,80320110,-25.4631702181385,-49.2942522954363,SIM,05:27:07
80320110,-25.4631702181385,-49.2942522954363,1,05:27:07,30,81020420,-25.4920196819718,-49.2840872729491,NÃO,05:33:51
81020420,-25.4920196819718,-49.2840872729491,1,05:33:51,30,81870310,-25.524150444185,-49.290210168982,NÃO,05:41:07
81870310,-25.524150444185,-49.290210168982,1,05:42:07,30,82025060,-25.4094383254911,-49.3098019002186,SIM,06:07:56
82025060,-25.4094383254911,-49.3098019002186,1,06:08:56,30,82400000,-25.4008242454259,-49.335596235314,SIM,06:14:28
82400000,-25.4008242454259,-49.335596235314,1,06:15:28,30,82821020,-25.4233146347775,-49.2160678044742,SIM,06:40:00
82821020,-25.4233146347775,-49.2160678044742,1,06:41:00,30,81920230,-25.540158846702,-49.2654606035168,SIM,07:08:49
81920230,-25.540158846702,-49.2654606035168,1,07:09:49,30,80820520,-25.4127105464884,-49.2963300390619,SIM,07:38:50
80820520,-25.4127105464884,-49.2963300390619,1,07:39:50,30,81230560,-25.4618345263762,-49.3467354210512,SIM,07:54:44
81230560,-25.4618345263762,-49.3467354210512,1,07:54:44,30,81170762,-25.51557721054,-49.3290638947933,NÃO,08:07:13
81170762,-25.51557721054,-49.3290638947933,1,08:08:13,30,82930428,-25.4555670002028,-49.2033254441496,SIM,08:36:47
82930428,-25.4555670002028,-49.2033254441496,1,08:37:47,30,82990000,-25.4637044472508,-49.198121637253,SIM,08:39:53
82990000,-25.4637044472508,-49.198121637253,1,08:39:53,30,81030380,-25.4878438322257,-49.2772121864255,NÃO,08:56:39
81030380,-25.4878438322257,-49.2772121864255,1,08:57:39,30,81470340,-25.5784518706724,-49.3362378687666,SIM,09:21:02
81470340,-25.5784518706724,-49.3362378687666,1,09:22:02,30,80440020,-25.4428337956861,-49.300747838027,SIM,09:53:02
80440020,-25.4428337956861,-49.300747838027,1,09:54:02,30,81220090,-25.4539760939031,-49.3149024143145,SIM,09:57:49
81220090,-25.4539760939031,-49.3149024143145,1,09:57:49,30,81590576,-25.4942162501529,-49.2012669496276,NÃO,10:22:20
81590576,-25.4942162501529,-49.2012669496276,1,10:23:20,30,80035230,-25.4008064386385,-49.2512257402299,SIM,10:46:25
80035230,-25.4008064386385,-49.2512257402299,1,10:47:25,30,81930367,-25.5617914350131,-49.2710241313602,SIM,11:23:27
81930367,-25.5617914350131,-49.2710241313602,1,11:24:27,30,82980520,-25.4702554549873,-49.1880231206476,SIM,11:50:46
82980520,-25.4702554549873,-49.1880231206476,1,11:51:46,30,80050435,-25.4305533081275,-49.2435107491958,SIM,12:05:59
80050435,-25.4305533081275,-49.2435107491958,1,12:06:59,30,81480160,-25.5588432106598,-49.3151440012031,SIM,12:38:56
81480160,-25.5588432106598,-49.3151440012031,1,12:39:56,30,82600070,-25.3907411036522,-49.2112438117616,SIM,13:22:45
82600070,-25.3907411036522,-49.2112438117616,1,13:23:45,30,82710330,-25.3530998572423,-49.2583428932106,SIM,13:36:24
82710330,-25.3530998572423,-49.2583428932106,1,13:37:24,30,81310370,-25.5005119473929,-49.3186624209516,SIM,14:12:21
81310370,-25.5005119473929,-49.3186624209516,1,14:13:21,30,82530060,-25.425394880957,-49.2359359145395,SIM,14:36:55
82530060,-25.425394880957,-49.2359359145395,1,14:37:55,30,81825210,-25.5262738689431,-49.2736153558222,SIM,15:01:36
81825210,-25.5262738689431,-49.2736153558222,1,15:02:36,30,81240490,-25.4789005295822,-49.3358291909315,SIM,15:18:57
81240490,-25.4789005295822,-49.3358291909315,1,15:19:57,30,80710600,-25.4224698510365,-49.3006978054742,SIM,15:34:21
